accountnumber,alcoholrecipienttype,altemail,altname,altphone,balancesearch,billingratecard,buyingreason,buyingtimeframe,campaignevent,category,comments,companyname,consolbalancesearch,consoldaysoverduesearch,consoldepositbalancesearch,consoloverduebalancesearch,consolunbilledorderssearch,contact,convertedtocontact,convertedtocustomer,creditholdoverride,creditlimit,cseg_bb_sales_chann,currency,custentity1,custentity_2663_customer_refund,custentity_2663_direct_debit,custentity_2663_email_address_notif,custentity_9572_custref_file_format,custentity_9572_dd_file_format,custentity_9572_ddcust_entitybank_sub,custentity_9572_ddcust_entitybnkformat,custentity_9572_refcust_entitybnkformat,custentity_9572_refundcust_entitybnk_sub,custentity_9997_dd_file_format,custentity_auto_bill_customer,custentity_bb_edi_customer,custentity_bb_sps_routing_key,custentity_bb_sps_vendor_no,custentity_bdc_customer_name,custentity_bdc_lastupdatedbyimport,custentity_bdc_shortname,custentity_bdc_sync_exclude,custentity_ccc_accrual_retail_mkt,custentity_ccc_acctmgr,custentity_ccc_auto_email_approved_inv,custentity_ccc_auto_gen_batch_prnt_label,custentity_ccc_auto_generate_po_ack,custentity_ccc_collections_rep,custentity_ccc_cust_class_sales_chan,custentity_ccc_customerid_to_sps,custentity_ccc_ehub_api_key,custentity_ccc_ehub_charge_for_shipping,custentity_ccc_ehub_ret_addr_1,custentity_ccc_ehub_ret_addr_2,custentity_ccc_ehub_ret_city,custentity_ccc_ehub_ret_company_name,custentity_ccc_ehub_ret_country,custentity_ccc_ehub_ret_first_name,custentity_ccc_ehub_ret_last_name,custentity_ccc_ehub_ret_phone,custentity_ccc_ehub_ret_state,custentity_ccc_ehub_ret_zip,custentity_ccc_ehub_shipping_markup_perc,custentity_ccc_include_in_dunning,custentity_ccc_multiple_email_addresses,custentity_ccc_pct_accrual_pricing,custentity_ccc_pct_accrual_spoilage,custentity_ccc_sales_channel_suite_conne,custentity_ccc_se_ltl_contact_email,custentity_ccc_se_ltl_contact_name,custentity_ccc_se_ltl_contact_phone_numb,custentity_ccc_send_edi_sps_asn,custentity_ccc_ship_with_ccs,custentity_ccc_ship_with_ehub,custentity_ccc_sps_configreq,custentity_ccc_uploaded_from_nurished,custentity_department,custentity_mancini_customer,custentity_naw_trans_need_approval,custentity_packship_customer_packinstruc,custentity_revenue_recognition,custentity_rfs_customer_labelgroup,custentity_rfs_edi_customer,custentity_rfs_edi_print_asn,custentity_rfs_edi_print_ucc,custentity_shipping_days_to_customer,custentity_shopify_cust_type,custentity_sps_accept_tp_uom,custentity_sps_enable_if_to_inv_sourcing,custentity_sps_enable_invoice_workflow,custentity_sps_item_case_conversion,custentity_sps_lot_exp_flag,custentity_sps_lot_man_pack_qtys,custentity_sps_package_data_source,custentity_sps_sscc_ext_digit,custentity_sps_tp_price_accept,custentity_wmsse_asn_required,custentitymanual_fulfil_auth,custentitypromomashaccess,custpartnerrolesforsearch,dateclosed,dateconversion,datecreated,dategrosslead,datelead,dateprospect,daysoverduesearch,defaultallocationstrategy,defaultbankaccount,defaultbillingaddress,defaultorderpriority,defaultshippingaddress,depositbalancesearch,duplicate,email,emailpreference,emailtransactions,enddate,entityid,entitynumber,entitystatus,entitytitle,estimatedbudget,externalid,fax,faxtransactions,firstname,firstorderdate,firstsaledate,firstsaleperiod,fullname,giveaccess,globalsubscriptionstatus,groupinvoices,homephone,id,isautogeneratedrepresentingentity,isbudgetapproved,isexplicitconversion,isinactive,isjob,isperson,language,lastmodifieddate,lastname,lastorderdate,lastsaledate,lastsaleperiod,leadsource,middlename,mobilephone,negativenumberformat,numberformat,oncredithold,overduebalancesearch,parent,phone,prefccprocessor,pricelevel,printoncheckas,printtransactions,probability,receivablesaccount,reminderdays,representingsubsidiary,resalenumber,salesreadiness,salesrep,salutation,searchstage,shipcomplete,shippingcarrier,shippingitem,startdate,taxable,taxitem,terms,territory,thirdpartyacct,thirdpartycarrier,thirdpartycountry,thirdpartyzipcode,title,toplevelparent,unbilledorderssearch,unsubscribe,url,vatregnumber,custentity_bb_lead_time
NULL,CONSUMER,NULL,Western Impact Distribution,NULL,300804.52,NULL,NULL,NULL,NULL,1,AmyZ@WIDistribution.ca  mikep@impactsales.ca,Western Impact Distribution,300804.52,5,0,15955.2,0,NULL,NULL,NULL,AUTO,NULL,10,1,F,F,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,NULL,NULL,NULL,F,C2723859 Western Impact Distribution,F,NULL,NULL,T,F,F,NULL,233,F,NULL,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,NULL,F,F,F,35,F,F,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,F,F,F,F,F,F,NULL,NULL,F,F,F,F,NULL,02:36.0,NULL,02:36.0,NULL,NULL,NULL,5,-2,NULL,26513720,NULL,26513720,0,F,AP@WIDistribution.ca,DEFAULT,T,NULL,C2723859,2723859,13,C2723859 Western Impact Distribution,NULL,NULL,NULL,F,NULL,00:00.0,00:00.0,131,C2723859 Western Impact Distribution,F,2,F,NULL,15359614,F,F,NULL,F,F,F,en_US,51:34.0,NULL,00:00.0,00:00.0,133,NULL,NULL,NULL,NULL,NULL,F,15955.2,NULL,6467-224-9988,NULL,NULL,NULL,F,1,-10,NULL,NULL,NULL,NULL,774810,NULL,Customer,F,nonups,NULL,NULL,F,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,15359614,0,T,NULL,NULL,21
NULL,CONSUMER,NULL,"Chambers & Owen, Inc.",NULL,0,NULL,NULL,NULL,NULL,1,NULL,"Chambers & Owen, Inc.",0,0,0,0,0,NULL,NULL,NULL,AUTO,NULL,10,1,F,F,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,NULL,NULL,NULL,F,"C0761520 Chambers & Owen, Inc.",F,NULL,NULL,T,F,F,NULL,233,F,NULL,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,NULL,F,F,F,NULL,F,F,NULL,2,NULL,F,F,F,NULL,NULL,F,F,F,F,F,F,NULL,NULL,F,F,F,T,NULL,08:26.0,NULL,08:26.0,NULL,NULL,NULL,0,NULL,NULL,140444,NULL,140444,0,F,Accts.payable@chambers-owen.com,PDF,F,NULL,C0761520,761520,13,"C0761520 Chambers & Owen, Inc.",NULL,NULL,NULL,F,NULL,00:00.0,00:00.0,75,"C0761520 Chambers & Owen, Inc.",F,2,F,NULL,777683,F,F,NULL,T,F,F,en_US,39:23.0,NULL,00:00.0,00:00.0,80,NULL,NULL,NULL,NULL,NULL,F,0,NULL,(608) 752-7865,NULL,2,NULL,F,1,-10,NULL,NULL,NULL,NULL,1867705,NULL,Customer,F,nonups,NULL,NULL,T,95735,2,NULL,NULL,NULL,NULL,NULL,NULL,777683,0,T,NULL,456-0000468580-03,21
NULL,CONSUMER,NULL,Vanguard Packaging,NULL,0,NULL,NULL,NULL,NULL,1,NULL,Vanguard Packaging,0,0,0,0,748800,NULL,NULL,NULL,AUTO,NULL,14,1,F,F,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,NULL,NULL,NULL,F,C2034330 Vanguard Packaging,F,NULL,NULL,T,F,F,NULL,236,F,NULL,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,NULL,F,F,F,35,F,F,NULL,2,NULL,F,F,F,NULL,NULL,F,F,F,F,F,F,NULL,NULL,F,F,F,F,NULL,18:48.0,NULL,18:48.0,NULL,NULL,NULL,0,NULL,NULL,17800486,NULL,17800486,0,F,KMMilligan@vanguardpkg.com,DEFAULT,T,NULL,C2034330,2034330,13,C2034330 Vanguard Packaging,NULL,NULL,NULL,F,NULL,00:00.0,00:00.0,119,C2034330 Vanguard Packaging,F,2,F,NULL,10433015,F,F,NULL,F,F,F,en_US,27:44.0,NULL,00:00.0,00:00.0,119,NULL,NULL,NULL,NULL,NULL,F,0,NULL,(816) 285-8038,NULL,NULL,NULL,F,1,-10,NULL,NULL,NULL,NULL,774810,NULL,Customer,F,nonups,NULL,NULL,F,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,10433015,748800,T,NULL,43-10555764,21
NULL,CONSUMER,NULL,"Downey Wholesale, Inc.",NULL,0,NULL,NULL,NULL,NULL,1,NULL,"Downey Wholesale, Inc.",0,0,0,0,8840.16,NULL,NULL,NULL,AUTO,NULL,9,1,F,F,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,NULL,NULL,NULL,F,"C2300846 Downey Wholesale, Inc.",F,NULL,NULL,T,F,F,NULL,231,F,NULL,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,ibrahem@downeydistributing.com,NULL,NULL,NULL,NULL,NULL,NULL,F,NULL,F,F,F,35,F,F,NULL,2,NULL,F,F,F,NULL,NULL,F,F,F,F,F,F,NULL,NULL,F,F,F,T,NULL,48:35.0,NULL,48:35.0,NULL,NULL,NULL,0,-2,NULL,21431720,NULL,21431720,0,F,lucy@downeydistributing.com,DEFAULT,T,NULL,C2300846,2300846,13,"C2300846 Downey Wholesale, Inc.",NULL,NULL,NULL,F,NULL,NULL,NULL,NULL,"C2300846 Downey Wholesale, Inc.",F,2,F,NULL,12276075,F,F,NULL,F,F,F,en_US,06:49.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,0,NULL,(562) 903-1433,NULL,NULL,NULL,F,1,-10,NULL,NULL,NULL,NULL,3628503,NULL,Customer,F,nonups,NULL,NULL,F,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,12276075,8840.16,T,NULL,95-4610977,21
NULL,CONSUMER,NULL,"HH Associates US, Inc",NULL,0,NULL,NULL,NULL,NULL,1,Point of contact: mike.schutzman@hhglobal.com  Invoices starting with 1313 need to be emailed to: cpginvoices@hhglobal.com,"HH Associates US, Inc",0,0,0,0,0,NULL,NULL,NULL,AUTO,NULL,8,1,F,F,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,NULL,NULL,NULL,F,"C2033005 HH Associates US, Inc",F,NULL,NULL,T,F,F,NULL,230,F,NULL,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,1,F,F,F,NULL,F,F,NULL,2,NULL,F,F,F,NULL,NULL,F,F,F,F,F,F,NULL,NULL,F,F,F,T,NULL,13:30.0,NULL,13:30.0,NULL,NULL,NULL,0,NULL,NULL,17785683,NULL,17785683,0,F,cpginvoices@hhglobal.com,DEFAULT,T,NULL,C2033005,2033005,13,"C2033005 HH Associates US, Inc",NULL,NULL,NULL,F,NULL,00:00.0,00:00.0,118,"C2033005 HH Associates US, Inc",F,2,F,NULL,10428114,F,F,NULL,F,F,F,en_US,59:02.0,NULL,00:00.0,00:00.0,118,NULL,NULL,NULL,NULL,NULL,F,0,NULL,(513) 247-8613,NULL,NULL,NULL,F,1,-10,NULL,NULL,NULL,NULL,1867705,NULL,Customer,F,nonups,NULL,NULL,F,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,10428114,0,T,NULL,98-053401,21
NULL,CONSUMER,NULL,Golick Martins Inc,NULL,0,NULL,NULL,NULL,NULL,1,NULL,Golick Martins Inc,0,0,0,0,0,NULL,NULL,NULL,AUTO,NULL,9,1,F,F,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,NULL,NULL,NULL,F,C2632380 Golick Martins Inc,F,NULL,NULL,F,F,F,NULL,231,F,NULL,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,NULL,NULL,NULL,9,NULL,NULL,NULL,F,1,F,F,F,35,F,F,NULL,1,NULL,F,F,F,NULL,NULL,F,F,F,F,F,F,NULL,NULL,F,F,F,T,NULL,36:43.0,NULL,36:43.0,NULL,NULL,NULL,0,-2,NULL,25477325,NULL,25477325,0,F,emmelinel@hwypartners.com,DEFAULT,F,NULL,C2632380,2632380,13,C2632380 Golick Martins Inc,NULL,NULL,NULL,F,NULL,NULL,NULL,NULL,C2632380 Golick Martins Inc,F,2,F,NULL,14755587,F,F,NULL,F,F,F,en_US,25:47.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,0,NULL,(508) 655-2300,NULL,NULL,NULL,F,1,-10,NULL,NULL,NULL,NULL,1867705,NULL,Customer,F,nonups,NULL,NULL,F,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,14755587,0,T,NULL,22-1948396,21
NULL,CONSUMER,NULL,Trader Joe's Company,NULL,3500000,NULL,NULL,NULL,NULL,1,shamilton@traderjoes.com  AP Contact: dplascencia@traderjoes.com,Trader Joe's Company,3500000,1,0,84000,112000,NULL,NULL,NULL,AUTO,NULL,7,1,F,F,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,T,5F4ALLBUILTBRAN,NULL,NULL,F,C2592640 Trader Joe's Company,F,NULL,NULL,F,F,T,NULL,232,F,NULL,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,T,NULL,F,T,F,35,F,F,NULL,2,NULL,F,F,F,NULL,NULL,F,F,F,T,F,F,NULL,NULL,T,F,F,T,NULL,23:33.0,NULL,23:33.0,NULL,NULL,NULL,1,-2,NULL,24919237,NULL,24919237,0,F,invoices@traderjoes.com,DEFAULT,F,NULL,C2592640,2592640,13,C2592640 Trader Joe's Company,NULL,NULL,NULL,F,NULL,00:00.0,00:00.0,129,C2592640 Trader Joe's Company,F,2,F,NULL,14396850,F,F,NULL,F,F,F,en_US,43:59.0,NULL,00:00.0,00:00.0,131,NULL,NULL,NULL,NULL,NULL,F,0,NULL,(857) 400-3379,NULL,NULL,NULL,F,1,-10,NULL,NULL,NULL,NULL,774810,NULL,Customer,F,nonups,NULL,NULL,F,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,14396850,112000,T,NULL,NULL,21
NULL,CONSUMER,NULL,Kitchen Stadium Inc / SnackMagic,NULL,0,NULL,NULL,NULL,NULL,1,rusell.anicete@bystadium.com,Kitchen Stadium Inc / SnackMagic,0,0,0,0,0,NULL,NULL,NULL,AUTO,NULL,7,1,F,F,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,NULL,NULL,NULL,F,C2372954 Kitchen Stadium Inc / SnackMagic,F,NULL,NULL,T,F,F,NULL,232,F,NULL,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,brands@snackmagic.com,NULL,NULL,NULL,NULL,NULL,NULL,F,1,F,F,F,NULL,F,F,NULL,2,NULL,F,F,F,NULL,NULL,F,F,F,F,F,F,NULL,NULL,F,F,F,T,NULL,36:57.0,NULL,36:57.0,NULL,NULL,NULL,0,-2,NULL,22319569,NULL,22319569,0,F,ap@bystadium.com,DEFAULT,T,NULL,C2372954,2372954,13,C2372954 Kitchen Stadium Inc / SnackMagic,NULL,NULL,NULL,F,NULL,NULL,NULL,NULL,C2372954 Kitchen Stadium Inc / SnackMagic,F,2,F,NULL,12823618,F,F,NULL,F,F,F,en_US,48:29.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,0,NULL,(888) 646-6883,NULL,NULL,NULL,F,1,-10,NULL,NULL,NULL,NULL,NULL,NULL,Customer,F,nonups,NULL,NULL,F,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,12823618,0,T,NULL,46-3956814,21
NULL,CONSUMER,NULL,Walmart Corp,NULL,0,NULL,NULL,NULL,NULL,1,Don't require EDI PO Acknowledgement and do require EDI ASN. Sam's Club picks up orders from the warehouse. Invoice is auto-generated same day as fulfillment is marked shipped.,Walmart Corp,0,0,0,0,0,NULL,NULL,NULL,AUTO,NULL,6,1,F,F,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,T,NULL,NULL,NULL,F,C2133098 Walmart Corp,F,NULL,774728,F,T,F,NULL,229,F,NULL,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,T,1,F,T,F,35,F,F,NULL,2,NULL,T,F,T,NULL,NULL,F,F,F,F,F,F,NULL,NULL,T,F,F,T,NULL,03:19.0,NULL,03:19.0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,T,wmgbs@wal-mart.com,PDF,F,NULL,C2133098,2133098,13,C2133098 Walmart Corp,NULL,NULL,NULL,F,NULL,NULL,NULL,NULL,C2133098 Walmart Corp,F,2,F,NULL,11025971,F,F,NULL,T,F,F,en_US,01:16.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,0,NULL,NULL,NULL,NULL,NULL,F,1,-10,NULL,NULL,NULL,NULL,774810,NULL,Customer,F,nonups,NULL,NULL,F,NULL,17,NULL,NULL,NULL,NULL,NULL,NULL,11025971,0,T,NULL,NULL,21
NULL,CONSUMER,NULL,APP Wholesale,NULL,0,NULL,NULL,NULL,NULL,1,NULL,APP Wholesale,0,0,0,0,252633.6,NULL,NULL,NULL,AUTO,NULL,7,1,F,F,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,T,F,NULL,NULL,NULL,F,C1935733 APP Wholesale,F,NULL,NULL,T,F,F,NULL,232,F,NULL,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,NULL,F,F,F,NULL,F,F,NULL,1,NULL,F,F,F,NULL,NULL,F,F,F,F,F,F,NULL,NULL,F,F,F,T,NULL,59:44.0,NULL,59:43.0,NULL,NULL,NULL,0,NULL,NULL,16752314,NULL,16752314,0,F,leeorb@app-wholesale.com,DEFAULT,T,NULL,C1935733,1935733,13,C1935733 APP Wholesale,NULL,NULL,NULL,F,NULL,00:00.0,00:00.0,120,C1935733 APP Wholesale,F,2,F,NULL,9936059,F,F,NULL,F,F,F,en_US,51:24.0,NULL,00:00.0,00:00.0,125,NULL,NULL,NULL,NULL,NULL,F,0,NULL,(323) 980-3746,NULL,NULL,NULL,F,1,-10,NULL,NULL,NULL,NULL,11281193,NULL,Customer,F,nonups,NULL,NULL,F,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,9936059,252633.6,T,NULL,46-2622020,21
