TABLE_QUALIFIER,TABLE_OWNER,TABLE_NAME,table_userdata,table_remarks,COLUMN_NAME,DATA_TYPE,TYPE_NAME,OA_LENGTH,OA_PRECISION,OA_NULLABLE,col_userdata,col_remarks
SCHEMA,SYSTEM,OA_COLUMNS,NULL,Descriptions of columns for all the Tables in the database,TABLE_QUALIFIER,-9,WVARCHAR,256,128,1,NULL,Name of the table qualifier
SCHEMA,SYSTEM,OA_COLUMNS,NULL,Descriptions of columns for all the Tables in the database,TABLE_OWNER,-9,WVARCHAR,256,128,1,NULL,Name of the table owner
SCHEMA,SYSTEM,OA_COLUMNS,NULL,Descriptions of columns for all the Tables in the database,TABLE_NAME,-9,WVARCHAR,256,128,0,NULL,Name of the table
SCHEMA,SYSTEM,OA_COLUMNS,NULL,Descriptions of columns for all the Tables in the database,COLUMN_NAME,-9,WVARCHAR,256,128,0,NULL,Name of the column
SCHEMA,SYSTEM,OA_COLUMNS,NULL,Descriptions of columns for all the Tables in the database,DATA_TYPE,5,SMALLINT,2,5,0,NULL,Column's SQL data type
SCHEMA,SYSTEM,OA_COLUMNS,NULL,Descriptions of columns for all the Tables in the database,TYPE_NAME,-9,WVARCHAR,256,128,0,NULL,Data source dependent data type name
SCHEMA,SYSTEM,OA_COLUMNS,NULL,Descriptions of columns for all the Tables in the database,OA_LENGTH,4,INTEGER,4,10,1,NULL,"Contains the length in bytes of data transferred for Fetch, GetData etc"
SCHEMA,SYSTEM,OA_COLUMNS,NULL,Descriptions of columns for all the Tables in the database,OA_PRECISION,4,INTEGER,4,10,1,NULL,Contains the precision of the column on the data source
SCHEMA,SYSTEM,OA_COLUMNS,NULL,Descriptions of columns for all the Tables in the database,OA_RADIX,5,SMALLINT,2,5,1,NULL,"Radix of data type, NULL for datatypes where radix does not apply"
SCHEMA,SYSTEM,OA_COLUMNS,NULL,Descriptions of columns for all the Tables in the database,OA_SCALE,5,SMALLINT,2,5,1,NULL,Scale of the column on the data source
SCHEMA,SYSTEM,OA_COLUMNS,NULL,Descriptions of columns for all the Tables in the database,OA_NULLABLE,5,SMALLINT,2,5,0,NULL,Contains value indicating if column accepts NULL values
SCHEMA,SYSTEM,OA_COLUMNS,NULL,Descriptions of columns for all the Tables in the database,OA_SCOPE,5,SMALLINT,2,5,1,NULL,Scope of the column
SCHEMA,SYSTEM,OA_COLUMNS,NULL,Descriptions of columns for all the Tables in the database,OA_USERDATA,-9,WVARCHAR,512,256,1,NULL,For Internal IP use only. Contains Data about the column that the IP requires
SCHEMA,SYSTEM,OA_COLUMNS,NULL,Descriptions of columns for all the Tables in the database,OA_SUPPORT,-9,WVARCHAR,256,128,1,NULL,For Internal IP use only. Contains operators that the IP supports for the column
SCHEMA,SYSTEM,OA_COLUMNS,NULL,Descriptions of columns for all the Tables in the database,PSEUDO_COLUMN,5,SMALLINT,2,5,1,NULL,Indicates whether column is pseudo column
SCHEMA,SYSTEM,OA_COLUMNS,NULL,Descriptions of columns for all the Tables in the database,OA_COLUMNTYPE,5,SMALLINT,2,5,1,NULL,"Indicates whether column type is SQL_BEST_ROWID(1), SQL_ROWER(2), both(3), None(0)"
SCHEMA,SYSTEM,OA_COLUMNS,NULL,Descriptions of columns for all the Tables in the database,REMARKS,-9,WVARCHAR,512,256,1,NULL,Contains description of the column
SCHEMA,SYSTEM,OA_TABLES,NULL,Description of all the tables in the database,TABLE_QUALIFIER,-9,WVARCHAR,256,128,1,NULL,Name of the table qualifier
SCHEMA,SYSTEM,OA_TABLES,NULL,Description of all the tables in the database,TABLE_OWNER,-9,WVARCHAR,256,128,1,NULL,Name of the table owner
SCHEMA,SYSTEM,OA_TABLES,NULL,Description of all the tables in the database,TABLE_NAME,-9,WVARCHAR,256,128,0,NULL,Name of the table
SCHEMA,SYSTEM,OA_TABLES,NULL,Description of all the tables in the database,TABLE_TYPE,-9,WVARCHAR,256,128,0,NULL,"Table type - on of TABLE, SYSTEM TABLE, VIEW, GLOBAL etc."
SCHEMA,SYSTEM,OA_TABLES,NULL,Description of all the tables in the database,TABLE_PATH,-9,WVARCHAR,512,256,1,NULL,Full pathname
SCHEMA,SYSTEM,OA_TABLES,NULL,Description of all the tables in the database,OA_USERDATA,-9,WVARCHAR,512,256,1,NULL,For Internal IP use only. Contains Data about the table that the IP requires
SCHEMA,SYSTEM,OA_TABLES,NULL,Description of all the tables in the database,OA_SUPPORT,-9,WVARCHAR,256,128,1,NULL,For Internal IP use only. Contains functions supported by the IP on the table
SCHEMA,SYSTEM,OA_TABLES,NULL,Description of all the tables in the database,REMARKS,-9,WVARCHAR,512,256,1,NULL,Contains description of the table
SCHEMA,SYSTEM,OA_TYPES,NULL,Data types supported by the Database,TYPE_NAME,-9,WVARCHAR,256,128,0,NULL,"Data type Name ,data source dependent"
SCHEMA,SYSTEM,OA_TYPES,NULL,Data types supported by the Database,DATA_TYPE,5,SMALLINT,2,5,0,NULL,"SQL Data type, ODBC SQL data type or driver specific SQL data type"
SCHEMA,SYSTEM,OA_TYPES,NULL,Data types supported by the Database,OA_PRECISION,4,INTEGER,4,10,1,NULL,Maximum precison of the data type on the data source
SCHEMA,SYSTEM,OA_TYPES,NULL,Data types supported by the Database,LITERAL_PREFIX,12,VARCHAR,128,128,1,NULL,"Characters used to prefix a literal, like  ' or ''"
SCHEMA,SYSTEM,OA_TYPES,NULL,Data types supported by the Database,LITERAL_SUFFIX,12,VARCHAR,128,128,1,NULL,"Characters used to suffix a literal, like  ' or ''"
SCHEMA,SYSTEM,OA_TYPES,NULL,Data types supported by the Database,CREATE_PARAMS,12,VARCHAR,128,128,1,NULL,"Params used for particular datatype, EMPTY_VAL if it does not apply"
SCHEMA,SYSTEM,OA_TYPES,NULL,Data types supported by the Database,OA_NULLABLE,5,SMALLINT,2,5,0,NULL,Indicates whether the data type accepts a NULL value
SCHEMA,SYSTEM,OA_TYPES,NULL,Data types supported by the Database,CASE_SENSITIVE,5,SMALLINT,2,5,0,NULL,"True if data type is character data type and is case sensitive, False otherwise"
SCHEMA,SYSTEM,OA_TYPES,NULL,Data types supported by the Database,OA_SEARCHABLE,5,SMALLINT,2,5,0,NULL,Indicates how the data type is used in a where clause
SCHEMA,SYSTEM,OA_TYPES,NULL,Data types supported by the Database,UNSIGNED_ATTRIB,5,SMALLINT,2,5,1,NULL,"    True if datatype is unsigned, False if it is signed , NULL if not applicable"
SCHEMA,SYSTEM,OA_TYPES,NULL,Data types supported by the Database,OA_MONEY,5,SMALLINT,2,5,0,NULL,"True if it is Money data type, False if it is not"
SCHEMA,SYSTEM,OA_TYPES,NULL,Data types supported by the Database,AUTO_INCREMENT,5,SMALLINT,2,5,1,NULL,"True if the data type is autoincrementing, False if it is not, NULL if not applicable"
