Item,Venue,Time,Region [ Region_warehouse ],Dollar Sales,Unit Sales,Days of Supply,Inventory Turns,Inventory On Hand,On Order,In Transit,Quantity Received,OOS,Warehouses Selling,Number of Warehouses,Flavor,Flavor / Scent,% Discount,Average Coupon Value,Average Promoted Price,Coupon Dollars,Coupon Units,Non Promoted Dollars,Non Promoted Units,Promoted Dollars,Promoted Units,Total Discount Dollars,Average Diesel Fuel Price per gallon,Average Regular Gas Price per gallon,Average Mid-grade Gas Price per gallon,Average Premium Gas Price per gallon,In Stock %
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 25 RENO,1 week ending 01-15-2023,Bay Area,$20.99,1,,,,,,0,,1,1,N/A,N/A,,,,,,,1,,,,5.76,4.59,4.79,4.97,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 25 RENO,1 week ending 01-01-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.76,4.72,4.91,5.11,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 25 RENO,1 week ending 01-08-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.68,4.64,4.64,5.23,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 25 RENO,1 week ending 01-22-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.76,4.57,4.74,5.12,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 25 RENO,1 week ending 01-29-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.31,4.62,4.63,5.01,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 25 RENO,1 week ending 02-05-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,4.95,4.59,4.80,4.99,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 25 RENO,1 week ending 02-12-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,4.95,4.60,4.80,4.96,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 25 RENO,1 week ending 02-19-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,4.95,4.60,4.78,5.00,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 25 RENO,1 week ending 02-26-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,4.95,4.61,4.59,4.98,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 25 RENO,1 week ending 03-05-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,4.95,4.68,4.80,5.07,
