source_brand,upc_count,sku_desc_count,first_week,last_week
KIND,237,232,2023-01-08,2026-04-19
LARABAR,215,217,2023-01-08,2026-04-19
CLIF BAR,208,204,2023-01-08,2026-04-19
QUEST,174,174,2023-01-08,2026-04-19
PRIVATE LABEL,164,162,2023-01-08,2026-04-19
RXBAR,131,129,2023-01-08,2026-04-19
ATKINS,118,116,2023-01-08,2026-04-19
THINK!,117,119,2023-01-08,2026-04-19
PURE PROTEIN,104,104,2023-01-08,2026-04-19
ONE BAR,93,93,2023-01-08,2026-04-19
BAREBELLS,91,89,2023-01-08,2026-04-19
PERFECT BAR,85,85,2023-01-08,2026-04-19
POWER CRUNCH,82,82,2023-01-08,2026-04-19
ROBERT IRVINES FITCRUNCH,75,76,2023-01-08,2026-04-19
BOBOS,67,68,2023-01-08,2026-04-19
ZONE PERFECT,67,66,2023-01-08,2026-04-19
GOMACRO,65,65,2023-01-08,2026-04-19
NUGO NUTRITION,65,66,2023-01-08,2026-04-19
BUILT BAR,60,63,2023-01-08,2026-04-19
PROBAR,59,58,2023-01-08,2026-04-19
BUILT PUFF,58,56,2023-01-08,2026-04-19
NO COW,58,60,2023-01-08,2026-04-19
THATS IT,57,57,2023-01-08,2026-04-19
HONEY STINGER,55,56,2023-01-08,2026-04-19
LUNA,55,54,2023-01-08,2026-04-19
ALOHA,48,48,2023-01-08,2026-04-19
CLIF ZBAR,47,48,2023-01-08,2026-04-19
MET-RX,47,49,2023-01-08,2026-04-19
REDCON1,47,47,2023-01-08,2026-04-19
BHU FOODS,46,43,2023-01-08,2026-04-19
CLIO,41,42,2023-01-08,2026-04-19
1ST PHORM,40,41,2023-01-08,2026-04-19
CLIF BUILDERS,39,39,2023-01-08,2026-04-19
CORE FOODS,37,36,2023-01-08,2026-04-19
GATORADE,37,37,2023-01-08,2026-04-19
ZING BAR,36,35,2023-01-08,2026-04-19
KIZE,35,34,2023-01-08,2026-04-19
SLIM FAST,35,36,2023-01-08,2026-04-19
READY,33,32,2023-01-08,2026-04-19
SIMPLYPROTEIN,33,31,2023-01-08,2026-04-19
NICKS,32,32,2023-01-08,2026-04-19
TRUBAR,32,32,2023-01-08,2026-04-19
LENNY & LARRYS,31,31,2023-01-08,2026-04-19
ALANI NU,30,29,2023-01-08,2026-04-19
DAVID,30,29,2024-11-10,2026-04-19
SPECIAL K,30,30,2023-01-08,2026-04-19
IQBAR,29,32,2023-01-08,2026-04-19
LOVE GOOD FATS,29,28,2023-01-08,2026-04-19
VERB,29,30,2023-01-08,2026-04-19
TOSI,28,27,2023-01-08,2026-04-19
CANDO,27,27,2023-01-08,2026-04-19
KATES REAL FOOD,27,27,2023-01-08,2026-04-19
TRUVANI,27,28,2023-01-08,2026-04-19
GNC,26,27,2023-01-08,2026-04-19
THUNDERBIRD,26,26,2023-01-08,2026-04-19
BETTY LOUS,25,25,2023-01-08,2026-04-19
BULLETPROOF,25,24,2023-01-08,2026-04-19
GARDEN OF LIFE,25,25,2023-01-08,2026-04-05
GENIUS GOURMET,25,25,2023-01-08,2026-04-19
MEZCLA,25,25,2023-01-08,2026-04-19
PROTEIN PUCK,25,25,2023-01-08,2026-04-19
FULFIL,24,25,2023-01-08,2026-04-19
JIMMYBAR,23,23,2023-01-08,2026-04-19
GOOD TO GO,22,22,2023-01-08,2026-03-29
MUNK PACK,22,22,2023-01-08,2026-04-19
