brand,upc,description,flavor_family,specific_flavor_raw,specific_flavor_normalized,pack_count,size,unit_of_measure,manual_review_needed
BUILT BAR,08-40229-30107,Built Mint Brownie Bar 1.69oz,CHOCOLATE MINT,Mint Brownie,Mint Brownie,1,1.69,OUNCE,N
BUILT PUFF,08-40229-30581,Built Puff Cookies N Cream Protein Bar 1.41 Oz (4 Pk),COOKIES AND CREAM,Cookies N Cream,Cookies N Cream,4,5.64,OUNCE,N
BUILT BAR,08-40229-30477,Built Banana Cream Pie Puff 1.41oz,BANANA,Banana Cream Pie,Banana Cream Pie,1,1.41,OUNCE,N
BUILT PUFF,08-40229-30229,Built Puff Churro Protein Bar 1.41 Oz (12 Pk),OTHER,Churro,Churro,12,16.93,OUNCE,N
BUILT BAR,08-40229-30071,Built Double Chocolate Fudge Bar 1.69oz,CHOCOLATE,Double Chocolate Fudge,Double Chocolate Fudge,1,1.69,OUNCE,N
BUILT SOUR PUFF,08-40229-30652,Built Sweet Peach Punch Sour Puff 1.45 Oz (4pk),PEACH,Sweet Peach Punch Sour,Sweet Peach Punch Sour,4,5.78,OUNCE,N
BUILT BAR,00-40962-48344,Built Bar Cookies N Cream Bar 1.73 Oz (16 Pk),COOKIES AND CREAM,Cookies N Cream,Cookies N Cream,16,27.68,OUNCE,N
BUILT PUFF,08-40229-30209,Built Puff Coconut Protein Bar 1.41 Oz (12 Pk),COCONUT,Coconut,Coconut,12,16.93,OUNCE,N
BUILT PUFF,08-40229-30561,Built Bar Puff Peanut Butter Cookie Chunk 1.52 Oz,PEANUT BUTTER,Peanut Butter Cookie,Peanut Butter Cookie,1,1.52,OUNCE,N
BUILT PUFF,08-40229-30647,Built Puff Peanut Butter Cup  / Smores Chunk Variety Pack 18.3oz (13pk),ASSORTED,Variety Pack,Variety Pack,13,18.3,OUNCE,N
BUILT PUFF,08-40229-30394,Built Puff Candy Cane Brownie Protein Bar 1.51 Oz,OTHER,Candy Cane Brownie,Candy Cane Brownie,1,1.51,OUNCE,N
BUILT PUFF,08-40229-30259,+bltbr Dbch Prtn Nsb Bar 20.16oz,CHOCOLATE,Double Chocolate,Double Chocolate,12,20.16,OUNCE,N
BUILT SOUR PUFF,08-40229-30680,Built Protein Bar Sour Puff Pink Lemonade Squeeze 1.45 Oz (4pk),LEMON,Sour Pink Lemonade Squeeze,Pink Lemonade Squeeze,4,5.8,OUNCE,N
BUILT PUFF,08-40229-30590,Built Puff Strawberries N Cream Protein Bar 1.41 Oz (12 Pk),STRAWBERRY,Strawberries N Cream,Strawberries N Cream,12,16.93,OUNCE,N
BUILT BAR,08-40229-30475,Built Puff Mixed Berry Bar 1.41 Oz,BERRY - BLENDS / GENERIC,Mixed Berry,Mixed Berry,1,1.41,OUNCE,N
BUILT PUFF,08-40229-30413,Built Bar Puff Brownie Batter 1.41 Oz,BROWNIE,Brownie Batter,Brownie Batter,1,1.41,OUNCE,N
BUILT SOUR PUFF,08-40229-30651,Built Protein Bar Puff Sour Peach 1.45 Oz,PEACH,Sour Peach,Peach,1,1.45,OUNCE,N
BUILT PUFF,08-40229-30615,Built Puff Chocolatey Hazelnut  1.41oz,CHOCOLATE NUT,Chocolatey Hazelnut,Chocolatey Hazelnut,1,1.41,OUNCE,N
BUILT PUFF,08-40229-30398,Built Bar Puff Cookies N Cream 1.41 Oz,COOKIES AND CREAM,Cookies N Cream,Cookies N Cream,1,1.41,OUNCE,N
