focal_upc,focal_desc,donor_upc,donor_desc,retail_account,channel_outlet,prob,status,confidence,pack_dist,rel_dist,shap1,sv1,shap2,sv2
08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,00-40962-48350,Built Bar Mint Brownie Choc 1.73 Oz (18 Pk),INFRA,NATURAL EXPANDED,0.9998067055716454,Cannibalizing,Low,,5,donor_base_units_pct_chg,9.20164844200188,donor_velocity_spm_pct_chg,-0.2956944937031678
08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,08-40229-30037,Built Puff Coconut Protein Bar 1.41 Oz,MAVERIK,CONVENIENCE - SPINS,0.00014808898723284693,Incremental,Low,,5,donor_base_units_pct_chg,-8.03578356842448,donor_post_13w_promo_weeks,-0.22830545409116987
08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,08-40229-30037,Built Puff Coconut Protein Bar 1.41 Oz,GIANT EAGLE,CONVENTIONAL|CONVENIENCE,0.9998461445842034,Cannibalizing,Low,,5,donor_base_units_pct_chg,9.204323207127842,donor_post_13w_promo_weeks,0.2255072830306031
08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,08-40229-30037,Built Puff Coconut Protein Bar 1.41 Oz,HY-VEE,CONVENTIONAL|CONVENIENCE,7.958111550300338e-05,Incremental,Low,,5,donor_base_units_pct_chg,-8.035943506803191,donor_velocity_spm_pct_chg,-0.37344294048972093
08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,08-40229-30037,Built Puff Coconut Protein Bar 1.41 Oz,MOTOMART,CONVENTIONAL|CONVENIENCE,8.028680533512183e-05,Incremental,Low,,5,donor_base_units_pct_chg,-8.042176021040074,donor_velocity_spm_pct_chg,-0.42428618068982504
08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,08-40229-30037,Built Puff Coconut Protein Bar 1.41 Oz,AHOLD DELHAIZE,CONVENTIONAL|FOOD,0.9997729946203654,Cannibalizing,Low,,5,donor_base_units_pct_chg,9.198128051310219,donor_post_13w_promo_weeks,-0.2559760946943761
08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,08-40229-30037,Built Puff Coconut Protein Bar 1.41 Oz,ALBERTSONS COMPANIES,CONVENTIONAL|FOOD,4.532239540725243e-05,Incremental,Low,,5,donor_base_units_pct_chg,-8.03075958865773,donor_velocity_spm_pct_chg,-0.6879598573749032
08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,08-40229-30037,Built Puff Coconut Protein Bar 1.41 Oz,ASSOCIATED WHOLESALE GROCERS,CONVENTIONAL|FOOD,5.768275009692237e-05,Incremental,Low,,5,donor_base_units_pct_chg,-8.032663556057123,donor_velocity_spm_pct_chg,-0.31805006676367137
08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,08-40229-30037,Built Puff Coconut Protein Bar 1.41 Oz,DEMOULAS,CONVENTIONAL|FOOD,7.47444784259787e-05,Incremental,Low,,5,donor_base_units_pct_chg,-8.054226558077614,donor_post_13w_promo_weeks,-0.3143183573974511
08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,08-40229-30037,Built Puff Coconut Protein Bar 1.41 Oz,DIERBERGS,CONVENTIONAL|FOOD,0.0001022307906846524,Incremental,Low,,5,donor_base_units_pct_chg,-8.052294684544579,donor_post_13w_promo_weeks,-0.238022978493619
08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,08-40229-30037,Built Puff Coconut Protein Bar 1.41 Oz,HY-VEE,CONVENTIONAL|FOOD,6.073171265581864e-05,Incremental,Low,,5,donor_base_units_pct_chg,-8.033839583926799,donor_post_13w_promo_weeks,-0.3243361262285043
08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,08-40229-30037,Built Puff Coconut Protein Bar 1.41 Oz,KROGER,CONVENTIONAL|FOOD,7.779566393998689e-05,Incremental,Low,,5,donor_base_units_pct_chg,-8.035926189478085,donor_velocity_spm_pct_chg,-0.35660129419294
08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,08-40229-30037,Built Puff Coconut Protein Bar 1.41 Oz,PUBLIX,CONVENTIONAL|FOOD,0.999940464903928,Cannibalizing,Low,,5,donor_base_units_pct_chg,9.21025127404123,base_units_delta_diff,1.1849063008371137
08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,08-40229-30037,Built Puff Coconut Protein Bar 1.41 Oz,UNFI,CONVENTIONAL|FOOD,6.993586643802453e-05,Incremental,Low,,5,donor_base_units_pct_chg,-8.031769547030093,donor_post_13w_promo_weeks,-0.33943180641252363
08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,08-40229-30037,Built Puff Coconut Protein Bar 1.41 Oz,WAKEFERN,CONVENTIONAL|FOOD,0.000109901273874278,Incremental,Low,,5,donor_base_units_pct_chg,-8.039561615655112,donor_velocity_spm_pct_chg,-0.33575213832798206
08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,08-40229-30037,Built Puff Coconut Protein Bar 1.41 Oz,WEGMANS,CONVENTIONAL|FOOD,0.0001864171762360952,Incremental,Low,,5,donor_base_units_pct_chg,-8.042300419823999,donor_post_13w_promo_weeks,0.4757016826881271
