,0
donor_velocity_spm_pct_chg,1773
donor_post_13w_arp_discount,1730
base_units_delta_diff,1555
donor_post_13w_promo_weeks,1313
donor_promo_week_delta,1300
focal_post_promo_weeks,1118
donor_base_units_pct_chg,951
focal_price_per_unit,890
donor_post_13w_units_pct_promo,736
focal_post_arp_discount,615
focal_post_units_pct_promo,447
relationship_distance,282
pack_distance,0
focal_base_units_pct_chg,0
velocity_spm_delta_diff,0
focal_velocity_spm_pct_chg,0
focal_tdp_pct_chg,0
focal_arp_pct_chg,0
focal_promo_week_delta,0
