retail_account,channel_outlet,upc,description,discount_bucket,discount_label,n_promo_weeks,lift_rate_mean,lift_rate_median,lift_rate_p25,lift_rate_p75,lift_tpr_avg,lift_display_avg,lift_feature_avg,discount_avg,arp_avg,base_arp_avg,most_recent_promo,dominant_mechanic,causal_impact_pct,robust_verdict,n_causal_events,best_lift_estimate,estimate_source
AAFES,CONVENTIONAL|MILITARY,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,30pct_plus,≥30% off,11,,,,,,,,1.0,3.0,3.03,2026-04-06T00:00:00.000Z,Unknown,,,,,observational
AAFES,CONVENTIONAL|MILITARY,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,no_promo,No price reduction,24,,,,,,,,,3.03,3.03,2026-04-13T00:00:00.000Z,Unknown,,,,,observational
AAFES,CONVENTIONAL|MILITARY,08-40229-30333,Built Puff Cookie Dough Chunk Protein Bar 1.55 Oz,30pct_plus,≥30% off,11,,,,,,,,1.0,2.99,3.03,2026-03-23T00:00:00.000Z,Unknown,,,,,observational
AAFES,CONVENTIONAL|MILITARY,08-40229-30333,Built Puff Cookie Dough Chunk Protein Bar 1.55 Oz,no_promo,No price reduction,24,,,,,,,,,3.03,3.03,2026-04-13T00:00:00.000Z,Unknown,,,,,observational
AAFES,CONVENTIONAL|MILITARY,08-40229-30334,Built Puff Cookie Dough Chunk Protein Bar 1.55 Oz (12 Pk),no_promo,No price reduction,2,,,,,,,,,34.94,34.94,2026-02-02T00:00:00.000Z,Unknown,,,,,observational
AAFES,CONVENTIONAL|MILITARY,08-40229-30432,Built Puff Mint Chip Protein Bar 1.41 Oz,30pct_plus,≥30% off,12,,,,,,,,1.0,2.99,3.03,2026-02-09T00:00:00.000Z,Unknown,,,,,observational
AAFES,CONVENTIONAL|MILITARY,08-40229-30432,Built Puff Mint Chip Protein Bar 1.41 Oz,no_promo,No price reduction,22,,,,,,,,,3.03,3.03,2026-04-13T00:00:00.000Z,Unknown,,,,,observational
AAFES,CONVENTIONAL|MILITARY,08-40229-30467,Built Puff Mint Chip Protein Bar 1.41 Oz (12 Pk),no_promo,No price reduction,2,,,,,,,,,34.96,34.96,2026-02-23T00:00:00.000Z,Unknown,,,,,observational
AAFES,CONVENTIONAL|MILITARY,08-40229-30550,Built Puff Cookies N Cream Protein Bar 1.41 Oz,30pct_plus,≥30% off,16,,,,,,,,1.0,3.0,3.01,2026-01-26T00:00:00.000Z,Unknown,,,,,observational
AAFES,CONVENTIONAL|MILITARY,08-40229-30550,Built Puff Cookies N Cream Protein Bar 1.41 Oz,no_promo,No price reduction,17,,,,,,,,,3.03,3.03,2026-04-13T00:00:00.000Z,Unknown,,,,,observational
AAFES,CONVENTIONAL|MILITARY,08-40229-30573,Built Puff Strawberries N Cream Protein Bar 1.41 Oz,no_promo,No price reduction,19,,,,,,,,,2.99,2.99,2026-04-13T00:00:00.000Z,Unknown,,,,,observational
AAFES,CONVENTIONAL|MILITARY,08-40229-30578,Built Puff Salted Caramel Protein Bar 1.41 Oz (12 Pk),no_promo,No price reduction,1,,,,,,,,,34.87,34.87,2025-11-17T00:00:00.000Z,Unknown,,,,,observational
AAFES,CONVENTIONAL|MILITARY,08-40229-30582,Built Puff Cookies N Cream Protein Bar 1.41 Oz (12 Pk),no_promo,No price reduction,6,,,,,,,,,34.98,34.98,2026-03-30T00:00:00.000Z,Unknown,,,,,observational
AAFES,CONVENTIONAL|MILITARY,08-40229-30642,Built Puff Peanut Butter Protein Bar 1.41 Oz,30pct_plus,≥30% off,1,,,,,,,,1.0,2.99,2.99,2026-03-16T00:00:00.000Z,Unknown,,,,,observational
AAFES,CONVENTIONAL|MILITARY,08-40229-30642,Built Puff Peanut Butter Protein Bar 1.41 Oz,no_promo,No price reduction,18,,,,,,,,,2.99,2.99,2026-04-13T00:00:00.000Z,Unknown,,,,,observational
AAFES,CONVENTIONAL|MILITARY,08-40229-30643,Built Puff Peanut Butter Puff Bar 1.41oz (12pk),no_promo,No price reduction,1,,,,,,,,,34.87,34.87,2026-01-12T00:00:00.000Z,Unknown,,,,,observational
AHOLD DELHAIZE,CONVENTIONAL|FOOD,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,0_10pct,<10% off,4,0.0282,0.0247,0.0196,0.0333,11.4,69.675,,0.0245,2.99,2.99,2026-02-02T00:00:00.000Z,Display,,,,0.0282,observational
AHOLD DELHAIZE,CONVENTIONAL|FOOD,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,10_20pct,10–20% off,2,0.3143,0.3143,0.2642,0.3644,45.1,25.4,,0.1625,2.6,2.99,2026-04-13T00:00:00.000Z,TPR,,,,0.3143,observational
AHOLD DELHAIZE,CONVENTIONAL|FOOD,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,20_30pct,20–30% off,4,0.4686,0.4773,0.4561,0.4898,47.1,89.65,,0.2162,2.35,2.97,2026-01-26T00:00:00.000Z,Display,,,,0.4686,observational
AHOLD DELHAIZE,CONVENTIONAL|FOOD,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,30pct_plus,≥30% off,1,0.2285,0.2285,0.2285,0.2285,54.5,82.5,,0.316,2.5,2.99,2025-12-29T00:00:00.000Z,Display,,,,0.2285,observational
AHOLD DELHAIZE,CONVENTIONAL|FOOD,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,no_promo,No price reduction,11,0.0195,0.0191,0.0069,0.0277,,49.4636,,0.0,2.99,2.99,2026-03-30T00:00:00.000Z,Display,,,,0.0195,observational
AHOLD DELHAIZE,CONVENTIONAL|FOOD,08-40229-30037,Built Puff Coconut Protein Bar 1.41 Oz,0_10pct,<10% off,36,0.0666,0.0336,0.0131,0.0587,40.7367,57.8739,,0.0518,2.89,2.92,2026-03-30T00:00:00.000Z,TPR,,,,0.0666,observational
AHOLD DELHAIZE,CONVENTIONAL|FOOD,08-40229-30037,Built Puff Coconut Protein Bar 1.41 Oz,10_20pct,10–20% off,44,0.4088,0.38,0.0486,0.6282,80.481,104.4304,,0.1489,2.7,2.97,2026-04-13T00:00:00.000Z,TPR,,,,0.4088,observational
AHOLD DELHAIZE,CONVENTIONAL|FOOD,08-40229-30037,Built Puff Coconut Protein Bar 1.41 Oz,20_30pct,20–30% off,4,0.314,0.3202,0.0955,0.5387,102.6,88.3,,0.2698,2.58,2.95,2025-12-29T00:00:00.000Z,TPR,,,,0.314,observational
AHOLD DELHAIZE,CONVENTIONAL|FOOD,08-40229-30037,Built Puff Coconut Protein Bar 1.41 Oz,30pct_plus,≥30% off,12,0.042,0.0371,0.0104,0.0606,141.6083,,,0.61,2.82,2.88,2025-05-05T00:00:00.000Z,TPR,,,,0.042,observational
AHOLD DELHAIZE,CONVENTIONAL|FOOD,08-40229-30037,Built Puff Coconut Protein Bar 1.41 Oz,no_promo,No price reduction,5,0.0157,0.0198,0.0015,0.022,,38.38,,0.0,3.05,3.05,2025-12-01T00:00:00.000Z,Display,,,,0.0157,observational
AHOLD DELHAIZE,CONVENTIONAL|FOOD,08-40229-30050,Built Puff Churro Protein Bar 1.41 Oz,0_10pct,<10% off,10,0.0719,0.0524,0.0276,0.1135,86.3667,71.9375,,0.0555,2.94,2.98,2026-03-02T00:00:00.000Z,Display,,,,0.0719,observational
AHOLD DELHAIZE,CONVENTIONAL|FOOD,08-40229-30050,Built Puff Churro Protein Bar 1.41 Oz,10_20pct,10–20% off,22,0.3606,0.391,0.1584,0.494,53.0429,64.2308,,0.1546,2.68,3.02,2026-04-13T00:00:00.000Z,TPR,,,,0.3606,observational
AHOLD DELHAIZE,CONVENTIONAL|FOOD,08-40229-30050,Built Puff Churro Protein Bar 1.41 Oz,20_30pct,20–30% off,5,0.5505,0.6077,0.3875,0.7988,94.76,58.5,,0.2532,2.44,2.97,2026-01-19T00:00:00.000Z,TPR,,,,0.5505,observational
AHOLD DELHAIZE,CONVENTIONAL|FOOD,08-40229-30050,Built Puff Churro Protein Bar 1.41 Oz,30pct_plus,≥30% off,22,0.2292,0.1015,0.0378,0.2487,151.1909,69.35,,0.4551,2.54,2.89,2026-01-26T00:00:00.000Z,TPR,,,,0.2292,observational
AHOLD DELHAIZE,CONVENTIONAL|FOOD,08-40229-30050,Built Puff Churro Protein Bar 1.41 Oz,no_promo,No price reduction,11,0.042,0.0364,0.0173,0.0621,,45.0273,,0.0,3.0,3.0,2026-03-30T00:00:00.000Z,Display,,,,0.042,observational
AHOLD DELHAIZE,CONVENTIONAL|FOOD,08-40229-30071,Built Double Chocolate Fudge Bar 1.69oz,0_10pct,<10% off,7,0.0676,0.0526,0.0443,0.0834,63.6429,,,0.0793,2.97,2.99,2024-09-02T00:00:00.000Z,Unknown,,,,0.0676,observational
AHOLD DELHAIZE,CONVENTIONAL|FOOD,08-40229-30071,Built Double Chocolate Fudge Bar 1.69oz,10_20pct,10–20% off,17,0.0377,0.0245,0.0203,0.0562,24.8588,,,0.1348,2.95,2.98,2024-10-07T00:00:00.000Z,TPR,,,,0.0377,observational
AHOLD DELHAIZE,CONVENTIONAL|FOOD,08-40229-30071,Built Double Chocolate Fudge Bar 1.69oz,20_30pct,20–30% off,5,0.0093,0.0046,0.0032,0.0107,28.84,,,0.2364,2.96,2.98,2024-08-12T00:00:00.000Z,TPR,,,,0.0093,observational
AHOLD DELHAIZE,CONVENTIONAL|FOOD,08-40229-30071,Built Double Chocolate Fudge Bar 1.69oz,30pct_plus,≥30% off,9,0.0239,0.0239,0.0215,0.0264,192.2667,,,0.543,2.01,2.96,2024-11-18T00:00:00.000Z,TPR,,,,0.0239,observational
AHOLD DELHAIZE,CONVENTIONAL|FOOD,08-40229-30119,Built Satled Caramel Bar 1.69oz,0_10pct,<10% off,15,0.0275,0.0249,0.0205,0.0368,28.66,,,0.0762,2.96,2.97,2024-08-19T00:00:00.000Z,TPR,,,,0.0275,observational
