week,type,upc,description,brand,channel,retailer,base_units,velocity_spm,tdp,pct_stores_selling,arp,forecast_units_low,forecast_units_base,forecast_units_high,forecast_vel_low,forecast_vel_base,forecast_vel_high
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,CONVENIENCE - SPINS,MAVERIK,3050.6,0.9,77.0,74.2,3.14,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,CONVENTIONAL|CONVENIENCE,,39322.0,1.3391304347826085,108.6,3.9739130434782597,3.4365217391304346,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,CONVENTIONAL|CONVENIENCE,GIANT EAGLE,217.0,0.7,44.1,28.0,3.49,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,CONVENTIONAL|CONVENIENCE,HY-VEE,14.0,0.9,4.5,3.7,3.76,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,CONVENTIONAL|FOOD,,91207.1,0.1999999999999999,981.4999999999999,10.607142857142861,2.655178571428572,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,CONVENTIONAL|FOOD,ALBERTSONS COMPANIES,1450.3,0.2,10.8,8.5,2.97,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,CONVENTIONAL|FOOD,ASSOCIATED WHOLESALE GROCERS,528.1,0.2,12.6,5.0,2.7,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,CONVENTIONAL|FOOD,DIERBERGS,185.0,0.3,89.5,88.9,2.87,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,CONVENTIONAL|FOOD,HY-VEE,1366.9,0.2,83.4,70.5,2.9,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,CONVENTIONAL|FOOD,KROGER,95.0,0.1,1.3,1.4,2.81,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,CONVENTIONAL|FOOD,PUBLIX,8363.8,0.2,92.2,91.3,2.0,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,CONVENTIONAL|FOOD,SPARTANNASH,508.3,0.4,86.9,83.9,2.13,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,CONVENTIONAL|FOOD,UNFI,1000.1,0.2,15.9,6.8,3.17,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,CONVENTIONAL|FOOD,WAKEFERN,27.0,0.2,0.8,1.0,2.99,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,CONVENTIONAL|FOOD,WEGMANS,817.0,0.1,76.4,75.9,2.79,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,CONVENTIONAL|MULO + CONVENIENCE,,128063.7,0.24090909090909093,199.3,3.409090909090909,3.0013636363636356,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,NATURAL EXPANDED,,7713.199999999997,0.3823529411764706,167.2,8.194117647058825,3.021176470588236,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,NATURAL EXPANDED,ALLEGIANCE RETAIL SERVICES,12.0,0.3,3.0,3.8,3.62,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,NATURAL EXPANDED,CLARKS MARKET,1.0,0.1,11.6,12.5,2.99,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,NATURAL EXPANDED,FRESH THYME,235.0,0.3,76.5,75.7,2.98,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,NATURAL EXPANDED,GELSONS MARKET,154.0,0.3,97.2,96.2,3.49,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,NATURAL EXPANDED,HARMONS NEIGHBORHOOD GROCER,796.0,1.1,100.0,100.0,2.99,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,NATURAL EXPANDED,INFRA,112.1,0.8,4.6,4.8,2.8,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,NATURAL EXPANDED,NCG,27.0,0.9,1.4,0.9,2.85,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,NATURAL EXPANDED,NEW SEASONS MARKET,129.7,0.4,100.0,100.0,2.5,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,NATURAL EXPANDED,NORTHWEST GROCERS,66.0,0.4,10.4,4.7,3.08,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,NATURAL EXPANDED,NUGGET MARKET,43.0,0.1,66.9,64.3,3.89,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,NATURAL EXPANDED,ROTHS FRESH MARKETS,2.0,0.1,7.8,9.1,3.19,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,NATURAL EXPANDED,SENDIKS,73.0,0.2,83.5,66.7,2.89,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,REGIONAL & INDEP GROCERY,,8573.3,0.24444444444444446,122.6,9.411111111111111,2.7755555555555556,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,REGIONAL & INDEP GROCERY,ASSOCIATED FOOD STORES,399.8,0.4,76.8,64.2,2.82,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,REGIONAL & INDEP GROCERY,B AND R STORES,6.0,0.2,6.8,4.5,2.48,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,REGIONAL & INDEP GROCERY,BROOKSHIRE BROTHERS,33.0,0.3,12.0,7.1,2.89,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,REGIONAL & INDEP GROCERY,BUEHLERS,27.0,0.1,69.3,53.3,2.68,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,REGIONAL & INDEP GROCERY,COSENTINOS,28.0,0.2,14.3,12.5,2.99,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,REGIONAL & INDEP GROCERY,HARDINGS MARKETS,31.0,0.5,58.9,45.8,2.32,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,REGIONAL & INDEP GROCERY,HARPS FOOD STORES,98.5,0.3,26.7,21.4,2.92,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,REGIONAL & INDEP GROCERY,HOUCHENS FOOD GROUP,17.0,0.6,1.3,1.0,2.95,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,REGIONAL & INDEP GROCERY,HUGOS FAMILY MARKETPLACE,3.0,0.1,26.4,16.7,2.49,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,REGIONAL & INDEP GROCERY,MCKEEVERS,37.0,0.3,52.8,50.0,2.99,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,REGIONAL & INDEP GROCERY,NILSSENS,2.0,0.1,11.7,9.1,2.49,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,REGIONAL & INDEP GROCERY,PYRAMID FOODS,7.0,0.1,16.5,8.3,3.29,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,REGIONAL & INDEP GROCERY,QUEENS PRICE CHOPPER,22.0,0.2,88.1,80.0,2.69,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,REGIONAL & INDEP GROCERY,REYNOLDS MARKET,2.0,0.1,49.3,25.0,3.19,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,REGIONAL & INDEP GROCERY,SCHNUCKS,263.8,0.1,55.3,48.3,2.26,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,REGIONAL & INDEP GROCERY,SKOGENS FOODLINER,179.0,0.2,70.5,69.0,2.95,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,REGIONAL & INDEP GROCERY,STRACK AND VAN TIL,125.3,0.3,64.8,60.9,2.85,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,REGIONAL & INDEP GROCERY,TOMS FOOD MARKETS,14.1,0.4,72.2,60.0,1.99,,,,,,
2025-07-21,actual,08-40229-30034,Built Puff Salted Caramel Protein Bar 1.41 Oz,BUILT PUFF,VITAMINS & SUPPLEMENTS,VITAMIN SHOPPE,2569.5,3.2,73.1,88.5,3.22,,,,,,
2025-07-21,actual,08-40229-30037,Built Puff Coconut Protein Bar 1.41 Oz,BUILT PUFF,CONVENIENCE - SPINS,MAVERIK,5195.6,1.3,94.2,91.8,3.17,,,,,,
2025-07-21,actual,08-40229-30037,Built Puff Coconut Protein Bar 1.41 Oz,BUILT PUFF,CONVENTIONAL|CONVENIENCE,,204477.90000000002,1.1842105263157894,596.0,11.036842105263156,3.3797368421052627,,,,,,
2025-07-21,actual,08-40229-30037,Built Puff Coconut Protein Bar 1.41 Oz,BUILT PUFF,CONVENTIONAL|CONVENIENCE,CIRCLE K,5868.200000000001,0.8,55.8,24.15,3.3,,,,,,
2025-07-21,actual,08-40229-30037,Built Puff Coconut Protein Bar 1.41 Oz,BUILT PUFF,CONVENTIONAL|CONVENIENCE,EXTRAMILE,107.2,1.9,12.7,12.9,3.85,,,,,,
2025-07-21,actual,08-40229-30037,Built Puff Coconut Protein Bar 1.41 Oz,BUILT PUFF,CONVENTIONAL|CONVENIENCE,GIANT EAGLE,274.0,0.7,53.7,41.0,3.49,,,,,,
2025-07-21,actual,08-40229-30037,Built Puff Coconut Protein Bar 1.41 Oz,BUILT PUFF,CONVENTIONAL|CONVENIENCE,GPM INVEST,13.0,2.2,0.3,0.2,2.99,,,,,,
