upc,description,brand,channel,retailer,base_units_13w,avg_velocity_spm,avg_tdp,avg_pct_stores,avg_arp,weeks_present
06-02652-43472,Kind Protein Max Crspy Chc Pnut Butter Bar 2.2 Oz,KIND,REGIONAL & INDEP GROCERY,ROUSES MARKET,40.0,783.33,0.0,1.867,0.81,3
08-39138-00252,Rob Irv Crunch Fit Pnut Btr Protein Bar 3.1oz,ROBERT IRVINES FITCRUNCH,REGIONAL & INDEP GROCERY,ROUSES MARKET,16.0,600.05,0.6,1.4,1.23,2
01-93908-00511,Rxbar Am Blueberry Bar 1.9 Oz,RXBAR,REGIONAL & INDEP GROCERY,ROUSES MARKET,11.0,366.7,0.0,1.4,0.6,1
00-52000-05365,Gatorade Cookies And Cream Bar 16.9 Oz,GATORADE,REGIONAL & INDEP GROCERY,ROUSES MARKET,14.0,288.9,0.0,1.4,3.5,3
01-93908-00190,Rxbar Chocolate Sea Salt & Peanut Butter Chocolate Minis Snack Bars .9 Oz (8 Pk),RXBAR,REGIONAL & INDEP GROCERY,ROUSES MARKET,24.0,252.08,0.0,2.125,3.28,4
06-37480-00614,Atkins Blueberry Protein Bar 1.76 Oz (4 Pk),ATKINS,REGIONAL & INDEP GROCERY,ROUSES MARKET,95.8,206.26,0.4,2.036,4.89,11
07-22252-19223,Clif Zbar Choc Brownie Og 1.27 Oz (12 Pk),CLIF ZBAR,REGIONAL & INDEP GROCERY,ROUSES MARKET,2.0,200.0,0.0,1.4,3.25,1
08-10815-02302,Honey Stinger Honey Mini Waffles Og 5.3 Oz,HONEY STINGER,REGIONAL & INDEP GROCERY,ROUSES MARKET,14.0,175.05,0.8,1.4,2.71,4
01-93908-00517,Rxam Honey Cinnamon Peanut Butter Bar 1.9 Oz,RXAM,REGIONAL & INDEP GROCERY,ROUSES MARKET,5.0,166.7,0.0,1.4,0.6,1
01-93908-00738,Rxbar Strawberry Blueberry Bar 0.91 Oz (8 Pk),RXBAR,REGIONAL & INDEP GROCERY,ROUSES MARKET,17.0,161.13,0.0,1.9,4.16,3
06-37480-00606,Atkins Strawberry Shortcake High Protein Nutritional Snack Bar Ss 6.77oz,ATKINS,REGIONAL & INDEP GROCERY,ROUSES MARKET,82.1,157.7,0.1,2.38,5.04,10
08-42096-15333,Aloha Peanut Butter Cup Bar Og 1.98 Oz (5 Pk),ALOHA,REGIONAL & INDEP GROCERY,ROUSES MARKET,11.0,152.66,0.0,1.7,12.54,5
08-10030-51805,Alani Nu Munchies Protein Bar 1.76 Oz,ALANI NU,REGIONAL & INDEP GROCERY,ROUSES MARKET,39.0,146.8,0.3,1.4,0.8,5
08-17719-02195,Robert Irvines Fitcrunch Sbrry Strudel 1.62 Oz,ROBERT IRVINES FITCRUNCH,REGIONAL & INDEP GROCERY,ROUSES MARKET,14.0,145.82,0.0,1.75,1.04,4
06-66618-00220,Healthy Crunch Barbie Pink Birthday Cake Snack Nutritional Snack Bar Square 4.68oz,HEALTHY CRUNCH,REGIONAL & INDEP GROCERY,ROUSES MARKET,27.0,140.43,0.0,1.938,2.11,8
07-22252-32957,Clif Zbar Choc Chip Energy Og 1.27 Oz (18 Pk),CLIF ZBAR,REGIONAL & INDEP GROCERY,ROUSES MARKET,17.0,138.1,0.0,1.4,7.28,7
08-50000-42962,Barebells Chocolate Dough Protein Bar 1.94 Oz (4 Pk),BAREBELLS,REGIONAL & INDEP GROCERY,ROUSES MARKET,12.6,127.5,0.0,1.7,7.43,5
01-93908-00723,Rxbar Am Pnt Bttr Drk Choc Bar 1.94 Oz (5 Pk),RXBAR,REGIONAL & INDEP GROCERY,ROUSES MARKET,13.0,122.22,0.0,1.883,7.01,6
07-22252-19224,Clif Zbar Chocolate Chip Og 1.27 Oz (12 Pk),CLIF ZBAR,REGIONAL & INDEP GROCERY,ROUSES MARKET,15.0,120.0,0.0,1.7,4.79,5
08-10815-02798,Honey Stinger Pnt Bttr Strwbrry Energy Waffle Og 1.06oz,HONEY STINGER,REGIONAL & INDEP GROCERY,ROUSES MARKET,47.0,118.31,1.0,2.355,1.97,11
06-02652-43477,Kind Protein Max Swt Slty Crml Pnut Crsp Bar 2.2 Oz,KIND,REGIONAL & INDEP GROCERY,ROUSES MARKET,10.0,111.1,0.0,1.4,0.99,3
06-02652-43388,Kind Zero Peanut Butter Dark Chocolate Bars 1.2 Oz (5 Pk),KIND,REGIONAL & INDEP GROCERY,ROUSES MARKET,9.0,101.65,0.0,2.125,7.8,4
06-02652-17150,Kind Core Dark Choc Cherry Cashew Perf 1.4oz (12pk),KIND,REGIONAL & INDEP GROCERY,ROUSES MARKET,1.0,100.0,0.0,1.4,17.13,1
00-52000-04113,Gatorade Protein Bar Peant Butter Chocolate 2.8oz (6pk),GATORADE,REGIONAL & INDEP GROCERY,ROUSES MARKET,19.0,95.46,0.0,2.26,4.66,5
