,0
donor_promo_week_delta,1932
donor_velocity_spm_pct_chg,1844
base_units_delta_diff,1674
donor_post_13w_arp_discount,1611
focal_price_per_unit,1425
donor_post_13w_units_pct_promo,1224
focal_post_promo_weeks,1096
donor_post_13w_promo_weeks,1051
donor_base_units_pct_chg,997
focal_post_arp_discount,823
focal_post_units_pct_promo,732
relationship_distance,161
focal_velocity_spm_pct_chg,0
velocity_spm_delta_diff,0
pack_distance,0
focal_base_units_pct_chg,0
focal_tdp_pct_chg,0
focal_arp_pct_chg,0
focal_promo_week_delta,0
